run,group,method,split,seed,sweep,best_val_auc,test.acc,test.balanced_acc,test.f1,test.threshold,test.auc,test.sensitivity,test.specificity,test_youden.acc,test_youden.balanced_acc,test_youden.f1,test_youden.threshold,test_youden.auc,test_youden.sensitivity,test_youden.specificity,test_screening.acc,test_screening.balanced_acc,test_screening.f1,test_screening.threshold,test_screening.auc,test_screening.sensitivity,test_screening.specificity,thr.youden,thr.screening,fair.bacc_gap,fair.sensitivity_gap,fair.n_strata,fair.min_stratum_n,fair.max_stratum_n,fair.worst_stratum,fair.worst_stratum_n,fair.worst_stratum_bacc,fair.bacc_gap_n10,fair.n_strata_n10,fair.bacc_gap_n20,fair.n_strata_n20,epochs,best_epoch
method-groupdro-0-s1-20260716-014009,method,groupdro,0,1,sweep-20260715-213431,0.997289972899729,0.7775330396475771,0.7212699475504967,0.6188679245283019,0.5,0.8278093962727374,0.5655172413793104,0.8770226537216829,0.7709251101321586,0.7438678718892981,0.6510067114093959,0.22254817187786102,0.8278093962727374,0.6689655172413793,0.8187702265372169,0.7709251101321586,0.7438678718892981,0.6510067114093959,0.22254817187786102,0.8278093962727374,0.6689655172413793,0.8187702265372169,0.22254817187786102,0.22254817187786102,0.3097826086956521,0.8695652173913043,6,15,132,dark,15,0.5,0.3097826086956521,6,0.12040552304492902,5,36,20
method-groupdro-0-s2-20260716-014505,method,groupdro,0,2,sweep-20260715-213431,0.994579945799458,0.7995594713656388,0.7612431648253544,0.6761565836298933,0.5,0.8637428858386341,0.6551724137931034,0.8673139158576052,0.775330396475771,0.7654056466912176,0.6772151898734177,0.0985921248793602,0.8637428858386341,0.7379310344827587,0.7928802588996764,0.775330396475771,0.7654056466912176,0.6772151898734177,0.0985921248793602,0.8637428858386341,0.7379310344827587,0.7928802588996764,0.0985921248793602,0.0985921248793602,0.056498240321769755,0.47058823529411764,5,42,159,light,90,0.7073906485671191,0.056498240321769755,5,0.056498240321769755,5,31,15
method-groupdro-0-20260715-192918,method,groupdro,0,42,sweep-20260715-174842,0.9891598915989159,0.76431718061674,0.7298627385336458,0.6323024054982818,0.5,0.8222519808057136,0.6344827586206897,0.8252427184466019,0.76431718061674,0.7298627385336458,0.6323024054982818,0.49873653054237366,0.8222519808057136,0.6344827586206897,0.8252427184466019,0.566079295154185,0.675739314808615,0.5904365904365905,0.00023216803674586117,0.8222519808057136,0.9793103448275862,0.37216828478964403,0.49873653054237366,0.00023216803674586117,0.2887700534759359,0.9411764705882353,6,5,176,dark,5,0.5,0.25811553814867827,5,0.25811553814867827,5,26,10
method-groupdro-1-s1-20260716-014920,method,groupdro,1,1,sweep-20260715-213431,0.9652459016393442,0.9063829787234042,0.8020833333333333,0.6206896551724138,0.5,0.934116809116809,0.6666666666666666,0.9375,0.9106382978723404,0.8367165242165242,0.6557377049180327,0.35238006711006165,0.934116809116809,0.7407407407407407,0.9326923076923077,0.7914893617021277,0.8660968660968661,0.5148514851485149,0.00037551537388935685,0.934116809116809,0.9629629629629629,0.7692307692307693,0.35238006711006165,0.00037551537388935685,0.2041666666666666,0.20833333333333337,5,1,84,intermediate,68,0.7958333333333334,0.12724358974358974,4,0.06820175438596487,3,45,29
method-groupdro-1-s2-20260716-015846,method,groupdro,1,2,sweep-20260715-213431,0.9527868852459016,0.9319148936170213,0.8648504273504274,0.7241379310344828,0.5,0.9417735042735043,0.7777777777777778,0.9519230769230769,0.9106382978723404,0.9011752136752136,0.6956521739130435,0.08164525032043457,0.9417735042735043,0.8888888888888888,0.9134615384615384,0.8340425531914893,0.8740206552706553,0.5617977528089888,0.002474128967151046,0.9417735042735043,0.9259259259259259,0.8221153846153846,0.08164525032043457,0.002474128967151046,0.25,0.5,5,12,67,tan,55,0.75,0.25,5,0.21153846153846156,4,47,31
method-groupdro-1-20260715-193300,method,groupdro,1,42,sweep-20260715-174842,0.9718032786885245,0.9276595744680851,0.8624465811965811,0.711864406779661,0.5,0.915954415954416,0.7777777777777778,0.9471153846153846,0.9446808510638298,0.8237179487179487,0.7346938775510204,0.9128552079200745,0.915954415954416,0.6666666666666666,0.9807692307692307,0.7787234042553192,0.7944266381766382,0.4583333333333333,0.003107944503426552,0.915954415954416,0.8148148148148148,0.7740384615384616,0.9128552079200745,0.003107944503426552,0.4217479674796748,0.9166666666666666,4,26,88,tan,26,0.5,0.4217479674796748,4,0.4217479674796748,4,24,8
method-groupdro-2-s1-20260716-020833,method,groupdro,2,1,sweep-20260715-213431,0.9769736842105263,0.9577464788732394,0.9464285714285714,0.9433962264150944,0.5,1.0,0.8928571428571429,1.0,0.9859154929577465,0.9821428571428572,0.9818181818181818,0.12718966603279114,1.0,0.9642857142857143,1.0,0.9859154929577465,0.9821428571428572,0.9818181818181818,0.018651453778147697,1.0,0.9642857142857143,1.0,0.12718966603279114,0.018651453778147697,0.0185185185185186,0.03703703703703709,5,1,65,very_light,65,0.9814814814814814,,1,,1,28,12
method-groupdro-2-s2-20260716-021601,method,groupdro,2,2,sweep-20260715-213431,0.9879385964912281,0.971830985915493,0.9642857142857143,0.9629629629629629,0.5,0.9966777408637875,0.9285714285714286,1.0,0.9577464788732394,0.9588870431893688,0.9473684210526315,0.007368642371147871,0.9966777408637875,0.9642857142857143,0.9534883720930233,0.9859154929577465,0.9821428571428572,0.9818181818181818,0.11026280373334885,0.9966777408637875,0.9642857142857143,1.0,0.007368642371147871,0.11026280373334885,0.5,1.0,6,1,43,intermediate,5,0.5,0.05555555555555558,2,,1,48,32
method-groupdro-2-20260715-193810,method,groupdro,2,42,sweep-20260715-174842,0.9890350877192983,0.9859154929577465,0.9821428571428572,0.9818181818181818,0.5,0.9916943521594684,0.9642857142857143,1.0,0.9859154929577465,0.9821428571428572,0.9818181818181818,0.14918150007724762,0.9916943521594684,0.9642857142857143,1.0,0.9859154929577465,0.9821428571428572,0.9818181818181818,0.14918150007724762,0.9916943521594684,0.9642857142857143,1.0,0.14918150007724762,0.14918150007724762,0.5,1.0,5,2,57,light,3,0.5,,1,,1,40,24
method-groupdro-indist-s1-20260716-011943,method,groupdro,indist,1,sweep-20260715-213431,0.9932712215320911,0.9495798319327731,0.9412238325281803,0.8928571428571429,0.5,0.9665861513687599,0.9259259259259259,0.9565217391304348,0.9411764705882353,0.9357890499194848,0.8771929824561403,0.18922331929206848,0.9665861513687599,0.9259259259259259,0.9456521739130435,0.9411764705882353,0.9357890499194848,0.8771929824561403,0.18922331929206848,0.9665861513687599,0.9259259259259259,0.9456521739130435,0.18922331929206848,0.18922331929206848,0.1875,0.33333333333333337,6,1,35,intermediate,27,0.8125,0.1875,5,0.1875,3,40,24
method-groupdro-indist-s2-20260716-012940,method,groupdro,indist,2,sweep-20260715-213431,0.994824016563147,0.9159663865546218,0.9064009661835748,0.8275862068965517,0.5,0.9603462157809984,0.8888888888888888,0.9239130434782609,0.907563025210084,0.9009661835748792,0.8135593220338984,0.22258177399635315,0.9603462157809984,0.8888888888888888,0.9130434782608695,0.9159663865546218,0.9064009661835748,0.8275862068965517,0.4779282808303833,0.9603462157809984,0.8888888888888888,0.9239130434782609,0.22258177399635315,0.4779282808303833,0.1576354679802956,0.25,5,3,44,light,36,0.8423645320197044,0.1576354679802956,4,0.11596880131362886,3,42,26
method-groupdro-indist-20260715-192357,method,groupdro,indist,42,sweep-20260715-174842,0.9901656314699794,0.9327731092436975,0.9172705314009661,0.8571428571428571,0.5,0.9581320450885669,0.8888888888888888,0.9456521739130435,0.9243697478991597,0.9118357487922706,0.8421052631578947,0.4505521357059479,0.9581320450885669,0.8888888888888888,0.9347826086956522,0.9243697478991597,0.9118357487922706,0.8421052631578947,0.4505521357059479,0.9581320450885669,0.8888888888888888,0.9347826086956522,0.4505521357059479,0.4505521357059479,0.22023809523809523,0.33333333333333337,6,3,34,tan,34,0.7797619047619048,0.22023809523809523,5,0.22023809523809523,3,21,5
